recorded_at_utc,api_as_of_utc,ticker,category,spot,zero_gamma,call_wall,put_wall,oi_call_wall,oi_put_wall,sum_gex_vol,sum_gex_oi,recorded_et,nearest_to_7740,dist_to_7740,nearest_to_7743,dist_to_7743,nearest_to_7741.5,dist_to_7741.5
2026-08-27T15:09:06.436063Z,2026-08-27T15:09:05Z,ES_SPX,gex_zero,7736.2,7718.54,7743.8,7703.8,7753.8,7728.8,165587.475,17557.497,11:09:06,call_wall,-3.800000000000182,call_wall,-0.8000000000001819,call_wall,-2.300000000000182
2026-08-27T15:09:06.823822Z,2026-08-27T15:09:05Z,ES_SPX,gex_full,7736.2,7718.29,7743.8,7703.8,7813.8,7513.8,170627.513,51718.475,11:09:06,call_wall,-3.800000000000182,call_wall,-0.8000000000001819,call_wall,-2.300000000000182
2026-08-27T15:10:08.249164Z,2026-08-27T15:10:07Z,ES_SPX,gex_zero,7737.72,7718.29,7743.8,7703.8,7753.8,7728.8,185445.078,19145.429,11:10:08,call_wall,-3.800000000000182,call_wall,-0.8000000000001819,call_wall,-2.300000000000182
2026-08-27T15:10:08.588509Z,2026-08-27T15:10:07Z,ES_SPX,gex_full,7737.72,7718.29,7743.8,7703.8,7813.8,7513.8,190637.174,53524.46,11:10:08,call_wall,-3.800000000000182,call_wall,-0.8000000000001819,call_wall,-2.300000000000182
2026-08-27T15:11:10.100950Z,2026-08-27T15:11:09Z,ES_SPX,gex_zero,7737.11,7718.54,7743.8,7703.88,7753.8,7728.8,174230.614,18000.932,11:11:10,call_wall,-3.800000000000182,call_wall,-0.8000000000001819,call_wall,-2.300000000000182
2026-08-27T15:11:10.460749Z,2026-08-27T15:11:09Z,ES_SPX,gex_full,7737.11,7718.29,7743.8,7703.8,7813.8,7513.8,179606.3,52675.194,11:11:10,call_wall,-3.800000000000182,call_wall,-0.8000000000001819,call_wall,-2.300000000000182
2026-08-27T15:11:47.118914Z,2026-08-27T15:11:46Z,ES_SPX,gex_zero,7738.49,7718.29,7743.8,7703.88,7753.8,7728.8,189109.022,19314.573,11:11:47,call_wall,-3.800000000000182,call_wall,-0.8000000000001819,call_wall,-2.300000000000182
2026-08-27T15:12:12.038373Z,2026-08-27T15:12:11Z,ES_SPX,gex_zero,7737.83,7718.54,7743.8,7703.88,7753.8,7728.8,183132.96,18771.695,11:12:12,call_wall,-3.800000000000182,call_wall,-0.8000000000001819,call_wall,-2.300000000000182
2026-08-27T15:12:12.415476Z,2026-08-27T15:12:11Z,ES_SPX,gex_full,7737.83,7718.29,7743.8,7703.8,7813.8,7513.8,188719.204,53855.675,11:12:12,call_wall,-3.800000000000182,call_wall,-0.8000000000001819,call_wall,-2.300000000000182
2026-08-27T15:13:13.963894Z,2026-08-27T15:13:14Z,ES_SPX,gex_zero,7737.48,7718.29,7743.8,7703.88,7753.8,7728.8,186669.722,19122.894,11:13:13,call_wall,-3.800000000000182,call_wall,-0.8000000000001819,call_wall,-2.300000000000182
2026-08-27T15:13:14.348294Z,2026-08-27T15:13:12Z,ES_SPX,gex_full,7737.81,7718.29,7743.8,7703.88,7813.8,7513.8,192242.696,54157.055,11:13:14,call_wall,-3.800000000000182,call_wall,-0.8000000000001819,call_wall,-2.300000000000182
2026-08-27T15:14:15.820428Z,2026-08-27T15:14:15Z,ES_SPX,gex_zero,7737.75,7718.54,7743.8,7713.54,7753.8,7728.8,184669.06,18651.672,11:14:15,call_wall,-3.800000000000182,call_wall,-0.8000000000001819,call_wall,-2.300000000000182
2026-08-27T15:14:16.183310Z,2026-08-27T15:14:15Z,ES_SPX,gex_full,7737.75,7718.54,7743.8,7703.8,7813.8,7513.8,190290.24,53895.118,11:14:16,call_wall,-3.800000000000182,call_wall,-0.8000000000001819,call_wall,-2.300000000000182
2026-08-27T15:15:17.709253Z,2026-08-27T15:15:16Z,ES_SPX,gex_zero,7740.12,7718.59,7743.84,7713.76,7753.84,7728.84,210955.328,20605.9,11:15:17,call_wall,-3.8400000000001455,call_wall,-0.8400000000001455,call_wall,-2.3400000000001455
2026-08-27T15:15:18.110724Z,2026-08-27T15:15:18Z,ES_SPX,gex_full,7740.03,7718.34,7743.84,7703.84,7813.84,7513.84,216874.267,56998.008,11:15:18,call_wall,-3.8400000000001455,call_wall,-0.8400000000001455,call_wall,-2.3400000000001455
2026-08-27T15:16:19.618508Z,2026-08-27T15:16:18Z,ES_SPX,gex_zero,7741.8,7718.76,7743.84,7713.76,7753.84,7728.84,214082.108,21186.558,11:16:19,call_wall,-3.8400000000001455,call_wall,-0.8400000000001455,call_wall,-2.3400000000001455
2026-08-27T15:16:19.946245Z,2026-08-27T15:16:18Z,ES_SPX,gex_full,7741.8,7718.59,7743.84,7713.76,7813.84,7513.84,220456.77,58568.678,11:16:19,call_wall,-3.8400000000001455,call_wall,-0.8400000000001455,call_wall,-2.3400000000001455
2026-08-27T15:17:21.369659Z,2026-08-27T15:17:20Z,ES_SPX,gex_zero,7742.39,7718.59,7743.84,7713.76,7753.84,7728.84,220238.296,21533.788,11:17:21,call_wall,-3.8400000000001455,call_wall,-0.8400000000001455,call_wall,-2.3400000000001455
2026-08-27T15:17:21.720002Z,2026-08-27T15:17:21Z,ES_SPX,gex_full,7742.36,7718.59,7743.84,7713.76,7813.84,7513.84,223449.173,59005.769,11:17:21,call_wall,-3.8400000000001455,call_wall,-0.8400000000001455,call_wall,-2.3400000000001455
2026-08-27T15:18:23.267951Z,2026-08-27T15:18:23Z,ES_SPX,gex_zero,7741.45,7718.93,7743.84,7713.76,7753.84,7728.84,212898.382,20364.898,11:18:23,call_wall,-3.8400000000001455,call_wall,-0.8400000000001455,call_wall,-2.3400000000001455
2026-08-27T15:18:23.635272Z,2026-08-27T15:18:23Z,ES_SPX,gex_full,7741.45,7718.84,7743.84,7713.76,7813.84,7513.84,220061.552,58240.145,11:18:23,call_wall,-3.8400000000001455,call_wall,-0.8400000000001455,call_wall,-2.3400000000001455
2026-08-27T15:19:25.183284Z,2026-08-27T15:19:25Z,ES_SPX,gex_zero,7741.67,7718.84,7743.84,7713.76,7753.84,7728.84,230510.074,21478.058,11:19:25,call_wall,-3.8400000000001455,call_wall,-0.8400000000001455,call_wall,-2.3400000000001455
2026-08-27T15:19:25.550439Z,2026-08-27T15:19:25Z,ES_SPX,gex_full,7741.67,7718.76,7743.84,7713.76,7813.84,7513.84,237901.77,59537.934,11:19:25,call_wall,-3.8400000000001455,call_wall,-0.8400000000001455,call_wall,-2.3400000000001455
2026-08-27T15:20:27.109564Z,2026-08-27T15:20:26Z,ES_SPX,gex_zero,7741.69,7719.1,7743.84,7713.76,7753.84,7728.84,220046.521,21044.473,11:20:27,call_wall,-3.8400000000001455,call_wall,-0.8400000000001455,call_wall,-2.3400000000001455
2026-08-27T15:20:27.409138Z,2026-08-27T15:20:26Z,ES_SPX,gex_full,7741.69,7718.93,7743.84,7713.76,7813.84,7513.84,227303.215,58809.937,11:20:27,call_wall,-3.8400000000001455,call_wall,-0.8400000000001455,call_wall,-2.3400000000001455
