symbol,first_line,last_line,first_utc,last_utc,first_et,last_et,count,campaign_id,phase_before,phase_after,action,policy,reason_code,waypoint_id,evidence_source,evidence_kind,evidence_side,first_price,min_price,max_price,first_pos_before,last_pos_after,first_evidence_id,last_evidence_id
ES,9978,9978,2026-08-27T17:53:18.893759Z,2026-08-27T17:53:18.893759Z,13:53:18,13:53:18,1,es-2026-08-27-short-upper-supply-vwap-7754-7756,BuildTrial,BuildTrial,SuppressAdd,evaluate_zone,inside_evaluate_zone,evaluate-7738-7742,LevelLedger,RailHeld,Demand,7745.0,7745.0,7745.0,2,2,live-ll-4-RailHeld-639234499988900409,live-ll-4-RailHeld-639234499988900409
ES,10031,10031,2026-08-27T17:58:14.152055Z,2026-08-27T17:58:14.152055Z,13:58:14,13:58:14,1,es-2026-08-27-short-upper-supply-vwap-7754-7756,BuildTrial,BuildTrial,SuppressAdd,evaluate_zone,inside_evaluate_zone,evaluate-7738-7742,LevelLedger,RailTested,Demand,7743.5,7743.5,7743.5,2,2,live-ll-4-RailTested-639234502941475852,live-ll-4-RailTested-639234502941475852
ES,10035,10059,2026-08-27T17:58:19.393944Z,2026-08-27T17:59:32.397139Z,13:58:19,13:59:32,8,es-2026-08-27-short-upper-supply-vwap-7754-7756,BuildTrial,BuildTrial,SuppressAdd,evaluate_zone,inside_evaluate_zone,evaluate-7738-7742,Price,PriceTouch,None,7742.875,7742.875,7743.125,2,2,quote-639234502991592048,quote-639234503722537143
ES,10067,10067,2026-08-27T18:00:09.400742Z,2026-08-27T18:00:09.400742Z,14:00:09,14:00:09,1,es-2026-08-27-short-upper-supply-vwap-7754-7756,BuildTrial,BuildTrial,SuppressAdd,evaluate_zone,inside_evaluate_zone,evaluate-7738-7742,LevelLedger,RailHeld,Demand,7745.0,7745.0,7745.0,2,2,live-ll-4-RailHeld-639234504093966336,live-ll-4-RailHeld-639234504093966336
ES,10084,10084,2026-08-27T18:01:02.161762Z,2026-08-27T18:01:02.161762Z,14:01:02,14:01:02,1,es-2026-08-27-short-upper-supply-vwap-7754-7756,BuildTrial,BuildTrial,SuppressAdd,evaluate_zone,inside_evaluate_zone,evaluate-7738-7742,LevelLedger,RailTested,Demand,7743.5,7743.5,7743.5,2,2,live-ll-4-RailTested-639234504621584028,live-ll-4-RailTested-639234504621584028
ES,10087,10098,2026-08-27T18:01:08.418832Z,2026-08-27T18:01:23.648412Z,14:01:08,14:01:23,4,es-2026-08-27-short-upper-supply-vwap-7754-7756,BuildTrial,BuildTrial,SuppressAdd,evaluate_zone,inside_evaluate_zone,evaluate-7738-7742,Price,PriceTouch,None,7743.125,7741.125,7743.125,2,2,quote-639234504683956223,quote-639234504835086633
ES,10103,10103,2026-08-27T18:01:28.664992Z,2026-08-27T18:01:28.664992Z,14:01:28,14:01:28,1,es-2026-08-27-short-upper-supply-vwap-7754-7756,BuildTrial,BuildTrial,HoldRoot,build_trial,build_trial_alive,build-7738-7754,LevelLedger,RailOwned,Supply,7741.5,7741.5,7741.5,2,2,live-ll-37-RailOwned-639234504886562358,live-ll-37-RailOwned-639234504886562358
ES,10105,10233,2026-08-27T18:01:28.666887Z,2026-08-27T18:04:45.169623Z,14:01:28,14:04:45,39,es-2026-08-27-short-upper-supply-vwap-7754-7756,BuildTrial,BuildTrial,SuppressAdd,evaluate_zone,inside_evaluate_zone,evaluate-7738-7742,Price,PriceTouch,None,7741.625,7736.875,7741.625,2,2,quote-639234504884305707,quote-639234506849711123
ES,10235,10235,2026-08-27T18:04:45.423287Z,2026-08-27T18:04:45.423287Z,14:04:45,14:04:45,1,es-2026-08-27-short-upper-supply-vwap-7754-7756,BuildTrial,BuildTrial,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7728-7738,Price,PriceTouch,None,7736.75,7736.75,7736.75,2,2,quote-639234506852621460,quote-639234506852621460
ES,10239,10239,2026-08-27T18:04:50.418140Z,2026-08-27T18:04:50.418140Z,14:04:50,14:04:50,1,es-2026-08-27-short-upper-supply-vwap-7754-7756,BuildTrial,BuildTrial,SuppressAdd,evaluate_zone,inside_evaluate_zone,evaluate-7738-7742,Price,PriceTouch,None,7736.875,7736.875,7736.875,2,2,quote-639234506901979648,quote-639234506901979648
ES,10241,10241,2026-08-27T18:04:51.418348Z,2026-08-27T18:04:51.418348Z,14:04:51,14:04:51,1,es-2026-08-27-short-upper-supply-vwap-7754-7756,BuildTrial,BuildTrial,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7728-7738,Price,PriceTouch,None,7736.75,7736.75,7736.75,2,2,quote-639234506913715084,quote-639234506913715084
ES,10245,10245,2026-08-27T18:04:55.654665Z,2026-08-27T18:04:55.654665Z,14:04:55,14:04:55,1,es-2026-08-27-short-upper-supply-vwap-7754-7756,BuildTrial,BuildTrial,SuppressAdd,evaluate_zone,inside_evaluate_zone,evaluate-7738-7742,Price,PriceTouch,None,7736.875,7736.875,7736.875,2,2,quote-639234506954716509,quote-639234506954716509
ES,10247,10247,2026-08-27T18:04:56.944928Z,2026-08-27T18:04:56.944928Z,14:04:56,14:04:56,1,es-2026-08-27-short-upper-supply-vwap-7754-7756,BuildTrial,BuildTrial,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7728-7738,Price,PriceTouch,None,7736.75,7736.75,7736.75,2,2,quote-639234506968828385,quote-639234506968828385
